age,categorie_age,sexe,milieu,niveau_education,experience,etat_matrimonial,possede_voiture,possede_logement,possede_terrain,socio_pro_group,revenu_annuel,nombre_enfants,charge_parentale,travail_secondaire,colonne_redundante,non_pertinente
43,Sénior,Femme,Rural,None,20,Divorcé,1,0,0,3,29301.661516376687,1,0,0,43,N/A
66,Âgé,Femme,Urbain,Sans niveau,42,None,0,1,0,6,36559.720092166535,2,1,0,66,N/A
57,Sénior,Femme,Rural,Fondamental,40,Divorcé,0,0,1,2,28638.17220123726,4,0,0,57,N/A
24,Jeune,Homme,Rural,Supérieur,1,Marié,0,1,0,5,27830.186989027035,1,1,0,24,N/A
47,Sénior,Femme,Rural,Secondaire,31,Marié,0,0,0,3,22596.153340845234,1,0,1,47,N/A
24,Jeune,Homme,Urbain,Fondamental,1,Célibataire,0,1,0,3,37921.789519731734,4,1,0,24,N/A
20,Jeune,Femme,Rural,Sans niveau,3,Célibataire,0,0,0,2,14988.498410203038,3,0,0,20,N/A
18,Jeune,Homme,Urbain,Secondaire,0,Marié,0,1,0,2,33120.758338320964,2,0,0,18,N/A
53,Sénior,Femme,Rural,Fondamental,35,Célibataire,1,1,1,5,33355.745694101075,3,1,0,53,N/A
42,Sénior,Femme,Rural,Secondaire,23,Célibataire,0,0,0,4,29986.44809994365,2,0,1,42,N/A
54,Sénior,Homme,Urbain,Sans niveau,35,Marié,1,0,1,3,42448.54657403613,3,1,1,54,N/A
18,Jeune,Homme,Urbain,Fondamental,0,Marié,0,0,0,4,30961.0783251242,2,0,0,18,N/A
32,Adulte,Homme,Urbain,Fondamental,16,Célibataire,0,1,1,1,41526.9410267457,0,1,0,32,N/A
54,Sénior,Homme,Rural,Sans niveau,36,Célibataire,1,0,1,5,31233.500934730047,1,1,1,54,N/A
30,Adulte,Homme,Rural,Fondamental,9,Marié,0,0,0,4,13504.636255335712,0,1,0,30,N/A
57,Sénior,Femme,Urbain,Sans niveau,33,Marié,1,1,0,4,39663.75033613873,3,1,1,57,N/A
25,Jeune,Homme,Rural,Sans niveau,2,Marié,0,0,0,4,,2,0,0,25,N/A
22,Jeune,Homme,Rural,Secondaire,1,Marié,0,1,0,2,29256.75559887979,1,1,0,22,N/A
26,Adulte,Femme,Rural,Supérieur,8,Célibataire,1,1,0,4,33902.229278469604,1,0,0,26,N/A
18,Jeune,Homme,Urbain,Secondaire,2,Marié,1,1,1,2,40552.390277928476,0,0,0,18,N/A
53,Sénior,Homme,Urbain,Supérieur,32,Marié,0,0,0,5,42910.656546934406,4,0,1,53,N/A
52,Sénior,Femme,Rural,Sans niveau,33,Marié,0,0,0,3,18952.37038681565,1,0,0,52,N/A
19,Jeune,Femme,Urbain,Fondamental,0,Célibataire,1,0,0,6,26486.64473645477,1,0,0,19,N/A
57,Sénior,Homme,Urbain,Secondaire,40,Marié,0,1,0,3,47161.70387374395,1,1,0,57,N/A
40,Sénior,Homme,Rural,Sans niveau,17,Célibataire,0,0,0,4,20168.00689287499,1,1,0,40,N/A
26,Adulte,Homme,Rural,Fondamental,3,Célibataire,0,0,0,6,16643.309169504366,0,1,0,26,N/A
51,Sénior,Homme,Urbain,Fondamental,33,Marié,0,0,0,4,30059.0751857919,3,0,0,51,N/A
63,Âgé,Homme,Urbain,Secondaire,42,Célibataire,0,0,0,3,43515.55786943355,3,0,0,63,N/A
31,Adulte,Femme,Rural,Supérieur,7,Marié,1,0,0,5,25761.42168302287,1,1,1,31,N/A
21,Jeune,Femme,Urbain,Secondaire,5,Divorcé,0,1,0,4,38169.083736439774,1,0,0,21,N/A
47,Sénior,Homme,Urbain,Supérieur,29,Divorcé,0,1,0,4,52574.183741570305,5,1,0,47,N/A
48,Sénior,Femme,Rural,Sans niveau,26,Célibataire,0,1,0,5,28887.888282273627,1,0,0,48,N/A
55,Sénior,Homme,Urbain,Fondamental,36,Célibataire,0,1,0,2,40025.722970718954,1,0,0,55,N/A
28,Adulte,Homme,Urbain,Sans niveau,4,Célibataire,1,1,0,4,39207.60920569328,2,1,0,28,N/A
52,Sénior,Femme,Urbain,Secondaire,32,Marié,0,0,1,6,34779.82700578911,1,1,0,52,N/A
25,Jeune,Femme,Urbain,Sans niveau,7,Marié,0,0,0,3,26640.31890438235,1,0,0,25,N/A
20,Jeune,Homme,Rural,Supérieur,0,Divorcé,0,0,0,3,31086.1110406865,3,0,1,20,N/A
31,Adulte,Homme,Rural,Secondaire,15,Marié,0,1,1,2,31618.502878256306,2,1,0,31,N/A
30,Adulte,Femme,Urbain,Secondaire,11,Marié,0,0,0,4,28489.94694346109,4,0,0,30,N/A
62,Âgé,Homme,Urbain,Secondaire,38,Marié,1,1,0,2,50369.87862060001,3,0,1,62,N/A
49,Sénior,Homme,Urbain,Secondaire,29,Marié,0,1,0,6,42277.201035440215,0,1,0,49,N/A
51,Sénior,Homme,Urbain,Secondaire,33,Célibataire,1,1,0,4,45674.182773421184,3,1,0,51,N/A
62,Âgé,Femme,Rural,Supérieur,41,Célibataire,0,1,0,2,41745.356922760344,1,0,0,62,N/A
36,Adulte,Homme,Urbain,Sans niveau,16,Marié,0,0,0,3,30862.90185524109,1,0,0,36,N/A
55,Sénior,Femme,Rural,Sans niveau,34,Marié,0,1,0,3,31919.780238012318,0,0,0,55,N/A
33,Adulte,Homme,Urbain,Secondaire,16,Marié,0,0,0,5,34221.78296602288,0,0,0,33,N/A
19,Jeune,Homme,Urbain,Sans niveau,0,Marié,0,0,0,2,27453.9351513937,1,1,0,19,N/A
57,Sénior,Femme,Urbain,Fondamental,34,Marié,0,1,0,2,38895.78272553333,1,1,0,57,N/A
34,Adulte,Homme,Rural,Secondaire,13,Célibataire,1,1,0,3,35662.0681539313,4,0,1,34,N/A
51,Sénior,Homme,Urbain,Secondaire,31,Marié,0,0,0,5,35501.970078494225,2,1,0,51,N/A
59,Sénior,Homme,Urbain,Fondamental,37,Marié,0,0,0,5,36112.3891002789,0,1,1,59,N/A
33,Adulte,Homme,Urbain,Secondaire,12,None,0,1,0,3,,0,0,0,33,N/A
55,Sénior,Femme,Rural,Fondamental,37,Célibataire,0,1,0,6,31559.250770199622,4,0,0,55,N/A
19,Jeune,Homme,Rural,Secondaire,0,Divorcé,0,1,0,3,31793.90149206962,4,0,0,19,N/A
19,Jeune,Femme,Urbain,Supérieur,0,Marié,0,1,0,4,40152.97834220151,2,0,0,19,N/A
43,Sénior,Femme,Urbain,Secondaire,23,Célibataire,0,1,0,4,40381.88962296759,1,0,1,43,N/A
30,Adulte,Homme,Urbain,Secondaire,14,Marié,1,0,0,5,,3,1,0,30,N/A
64,Âgé,Homme,Rural,Fondamental,41,Célibataire,1,0,0,6,,5,0,0,64,N/A
48,Sénior,Homme,Rural,Fondamental,28,Divorcé,0,0,0,4,27151.76481618656,1,0,0,48,N/A
51,Sénior,Homme,Urbain,Sans niveau,35,Marié,0,0,0,3,36869.65853782047,1,0,0,51,N/A
56,Sénior,Femme,Rural,Secondaire,38,Célibataire,0,0,0,1,25242.49240636477,2,1,0,56,N/A
20,Jeune,Homme,Urbain,Secondaire,0,Célibataire,1,0,0,5,32451.408264708884,8,0,0,20,N/A
25,Jeune,Femme,Urbain,Sans niveau,3,Célibataire,1,1,1,3,31264.136506931998,3,1,0,25,N/A
40,Sénior,Homme,Rural,Supérieur,24,Célibataire,1,1,0,5,35406.88431041164,1,0,0,40,N/A
31,Adulte,Homme,Urbain,Supérieur,12,None,0,0,0,4,36355.00075685366,1,0,0,31,N/A
44,Sénior,Homme,Rural,Sans niveau,23,Marié,1,0,1,4,,6,1,0,44,N/A
46,Sénior,Homme,Urbain,Fondamental,27,Marié,0,1,0,5,37376.50161177855,2,0,0,46,N/A
56,Sénior,Femme,Urbain,Secondaire,33,Marié,0,0,0,6,30464.467884234044,1,0,0,56,N/A
56,Sénior,Femme,Urbain,Fondamental,36,Veuf,0,0,0,2,34496.92709613617,3,0,0,56,N/A
18,Jeune,Homme,Rural,Sans niveau,0,Célibataire,1,0,0,4,13952.844608867272,0,0,0,18,N/A
34,Adulte,Femme,Urbain,Supérieur,16,None,1,0,0,3,41832.8306195323,1,0,0,34,N/A
58,Sénior,Femme,Urbain,None,39,Marié,1,1,0,4,38868.88176948531,1,0,0,58,N/A
47,Sénior,Femme,Urbain,Sans niveau,26,Marié,1,1,0,5,29875.474564686676,2,1,0,47,N/A
30,Adulte,Femme,Urbain,Fondamental,13,Marié,0,0,0,2,26709.995047740274,4,1,0,30,N/A
38,Adulte,Femme,Urbain,Secondaire,17,Divorcé,0,1,0,3,35564.93175708689,5,0,0,38,N/A
36,Adulte,Homme,Urbain,Fondamental,14,Divorcé,0,0,0,2,32936.50440383808,1,1,1,36,N/A
36,Adulte,Homme,Urbain,Sans niveau,13,Célibataire,0,1,0,2,36119.038682843115,4,1,0,36,N/A
42,Sénior,Homme,Urbain,Sans niveau,23,Célibataire,0,0,0,2,33485.728504747094,5,1,0,42,N/A
39,Adulte,Femme,Rural,Secondaire,16,Célibataire,0,0,0,4,24373.30322085227,2,0,0,39,N/A
48,Sénior,Femme,Urbain,Fondamental,27,Célibataire,0,0,0,5,37747.7300168566,4,0,0,48,N/A
34,Adulte,Femme,Urbain,Fondamental,15,Veuf,1,1,0,3,38653.57173092482,3,0,1,34,N/A
40,Sénior,Femme,Urbain,Secondaire,22,Célibataire,0,1,0,3,37759.64081613463,0,1,0,40,N/A
49,Sénior,Homme,Rural,Sans niveau,30,Célibataire,0,0,1,2,25787.046481399837,3,1,0,49,N/A
27,Adulte,Femme,Urbain,Sans niveau,9,Célibataire,0,1,0,3,34184.41845152833,2,1,0,27,N/A
27,Adulte,Femme,Rural,Fondamental,5,Veuf,0,1,0,3,27431.35413634669,0,1,0,27,N/A
53,Sénior,Femme,Rural,Sans niveau,33,Célibataire,1,1,0,6,24453.625905830988,1,0,0,53,N/A
25,Jeune,Femme,Rural,Supérieur,8,Célibataire,0,0,1,4,26873.06769437426,1,1,0,25,N/A
69,Âgé,Homme,Rural,Fondamental,48,Divorcé,1,0,0,4,34369.8033307755,1,1,0,69,N/A
37,Adulte,Homme,Urbain,Fondamental,14,Veuf,0,1,0,6,33459.76463020314,1,0,0,37,N/A
49,Sénior,Femme,Urbain,Sans niveau,29,Célibataire,0,0,0,6,32461.254875421204,0,1,0,49,N/A
67,Âgé,Homme,Urbain,Supérieur,46,Célibataire,1,1,0,5,,1,0,0,67,N/A
31,Adulte,Homme,Rural,Supérieur,10,Célibataire,0,0,0,4,25953.081623491504,0,1,0,31,N/A
67,Âgé,Homme,Urbain,Supérieur,50,Marié,1,0,0,4,49522.01839925842,2,0,0,67,N/A
45,Sénior,Homme,Rural,Secondaire,27,Célibataire,0,1,0,2,34476.61036263938,2,1,1,45,N/A
63,Âgé,Femme,Urbain,Secondaire,47,Marié,1,1,0,4,48097.48222837108,4,0,0,63,N/A
69,Âgé,Femme,Rural,Secondaire,47,Marié,0,0,0,3,33714.34470161002,2,0,0,69,N/A
41,Sénior,Femme,Rural,Sans niveau,17,None,0,1,0,4,24643.226179585723,1,0,0,41,N/A
32,Adulte,Homme,Urbain,Sans niveau,11,Célibataire,0,1,0,5,28499.23354888722,0,1,0,32,N/A
39,Adulte,Femme,Rural,Sans niveau,19,Veuf,1,0,0,2,20241.655238142906,0,0,0,39,N/A
47,Sénior,Femme,Urbain,Supérieur,31,Célibataire,0,0,0,3,44714.08499873858,2,0,0,47,N/A
21,Jeune,Femme,Rural,Fondamental,4,Divorcé,0,0,1,6,23078.62637864858,2,1,0,21,N/A
30,Adulte,Femme,Rural,Sans niveau,8,Célibataire,0,0,0,4,15810.764741592226,2,0,0,30,N/A
40,Sénior,Femme,Rural,None,20,Célibataire,0,0,0,6,24898.69187343543,3,0,0,40,N/A
25,Jeune,Homme,Urbain,Sans niveau,4,Marié,0,0,0,3,22901.6533569086,2,1,0,25,N/A
35,Adulte,Homme,Urbain,Sans niveau,17,Marié,0,0,0,2,30921.73856693633,1,0,0,35,N/A
29,Adulte,Femme,Rural,Secondaire,5,Veuf,1,0,0,4,20643.179702377125,2,0,0,29,N/A
48,Sénior,Femme,Rural,Secondaire,31,Célibataire,0,0,0,5,28797.075383135692,3,0,0,48,N/A
31,Adulte,Femme,Urbain,Fondamental,12,Célibataire,0,1,0,3,30572.303531790785,0,1,0,31,N/A
51,Sénior,Homme,Rural,None,34,Divorcé,0,0,0,4,32118.30808029937,0,1,0,51,N/A
35,Adulte,Femme,Urbain,Fondamental,19,Marié,1,0,0,1,33336.93882889434,2,0,0,35,N/A
51,Sénior,Homme,Urbain,Fondamental,28,Marié,0,0,0,6,,3,1,1,51,N/A
28,Adulte,Homme,Rural,None,7,Célibataire,1,0,1,5,32943.2691844635,0,1,1,28,N/A
58,Sénior,Homme,Urbain,Sans niveau,41,Célibataire,1,0,0,5,44543.74124406272,0,1,0,58,N/A
29,Adulte,Femme,Urbain,Secondaire,13,Célibataire,0,1,0,2,38360.393251831534,0,0,0,29,N/A
66,Âgé,Homme,Rural,Supérieur,47,Célibataire,1,1,0,5,42185.58326405489,2,1,0,66,N/A
32,Adulte,Femme,Urbain,Secondaire,11,Célibataire,0,0,0,4,32847.9342348054,2,1,1,32,N/A
48,Sénior,Homme,Urbain,Fondamental,31,Célibataire,0,1,1,5,,3,0,0,48,N/A
66,Âgé,Femme,Urbain,Sans niveau,46,Marié,0,0,0,5,28575.64883337004,2,0,0,66,N/A
46,Sénior,Femme,Urbain,Sans niveau,28,Marié,1,0,0,6,28467.326026873496,1,0,0,46,N/A
43,Sénior,Femme,Urbain,Sans niveau,19,Célibataire,1,0,0,3,33778.76818878109,4,0,0,43,N/A
35,Adulte,Homme,Rural,Secondaire,16,Marié,0,1,0,6,27505.220950261268,0,1,1,35,N/A
49,Sénior,Homme,Rural,Fondamental,29,Célibataire,0,1,0,2,34285.69147198954,3,1,0,49,N/A
39,Adulte,Femme,Urbain,Secondaire,21,Marié,0,0,0,2,38263.34093706356,0,1,0,39,N/A
55,Sénior,Homme,Rural,Sans niveau,35,Célibataire,0,1,0,3,35473.15975006474,4,0,0,55,N/A
34,Adulte,Homme,Rural,Secondaire,14,Marié,0,0,1,5,28924.779245832822,4,0,0,34,N/A
40,Sénior,Homme,Urbain,Secondaire,20,Célibataire,0,0,1,3,43499.638616230404,7,0,0,40,N/A
41,Sénior,Femme,Urbain,Secondaire,19,Célibataire,0,1,0,4,37390.92231813056,2,0,1,41,N/A
67,Âgé,Homme,Rural,Sans niveau,48,Marié,0,0,0,5,26343.004140397145,3,0,0,67,N/A
25,Jeune,Homme,Urbain,Fondamental,5,Célibataire,1,0,0,4,30721.095359753028,1,0,0,25,N/A
58,Sénior,Femme,Urbain,Fondamental,39,Célibataire,0,0,0,4,35855.21241593981,3,0,0,58,N/A
23,Jeune,Homme,Rural,Supérieur,3,Divorcé,0,0,0,2,33283.35113076708,3,0,1,23,N/A
22,Jeune,Homme,Rural,Fondamental,3,Marié,1,0,0,3,20837.41453443106,3,0,0,22,N/A
61,Âgé,Homme,Rural,Fondamental,43,Célibataire,1,1,0,2,41714.9700388278,3,0,0,61,N/A
46,Sénior,Femme,Urbain,Supérieur,27,Marié,0,0,0,4,39575.88073661629,2,1,0,46,N/A
45,Sénior,Homme,Rural,Sans niveau,24,Célibataire,1,1,0,1,30345.32621034466,0,0,0,45,N/A
28,Adulte,Femme,Rural,Fondamental,10,Marié,0,0,0,5,17148.82708849826,2,1,0,28,N/A
18,Jeune,Femme,Urbain,Sans niveau,1,Marié,0,0,0,2,21611.050477271096,0,0,0,18,N/A
60,Âgé,Homme,Rural,Sans niveau,36,Divorcé,0,0,1,6,25302.463545486615,2,1,0,60,N/A
36,Adulte,Femme,Urbain,Sans niveau,17,None,0,1,0,4,32648.717044541478,2,0,0,36,N/A
26,Adulte,Homme,Urbain,Sans niveau,2,None,0,0,0,4,28307.52023906869,1,1,0,26,N/A
44,Sénior,Homme,Rural,Secondaire,26,Marié,0,0,0,5,31354.049193627052,3,0,0,44,N/A
51,Sénior,Femme,Urbain,Fondamental,31,Célibataire,0,0,0,1,32259.27668745759,1,0,0,51,N/A
61,Âgé,Femme,Urbain,Supérieur,45,Marié,0,0,1,6,40417.95894074605,2,0,0,61,N/A
21,Jeune,Homme,Urbain,Secondaire,2,Marié,0,1,0,4,36058.04208352424,2,1,1,21,N/A
53,Sénior,Homme,Urbain,Secondaire,37,Divorcé,1,1,0,4,47997.22412510954,2,0,1,53,N/A
35,Adulte,Homme,Urbain,Fondamental,19,None,0,0,0,2,30062.422107940685,3,1,0,35,N/A
32,Adulte,Homme,Urbain,None,11,Célibataire,0,1,0,3,36214.25019404158,1,1,0,32,N/A
68,Âgé,Femme,Urbain,Fondamental,44,Marié,0,0,1,3,37561.418861744794,3,0,0,68,N/A
30,Adulte,Femme,Urbain,Secondaire,11,Célibataire,0,0,0,2,36889.19865581214,0,0,0,30,N/A
36,Adulte,Homme,Urbain,Fondamental,13,Divorcé,0,0,0,3,33519.42350083797,1,0,0,36,N/A
66,Âgé,Homme,Rural,Fondamental,44,Divorcé,1,1,0,4,39254.34173355804,4,1,0,66,N/A
23,Jeune,Homme,Rural,Fondamental,3,Célibataire,0,0,0,2,23550.776943201203,1,0,0,23,N/A
65,Âgé,Homme,Urbain,Fondamental,43,Marié,0,0,0,3,38024.01146148335,1,1,0,65,N/A
29,Adulte,Homme,Urbain,Fondamental,5,Marié,0,0,0,4,28160.638781545636,0,0,0,29,N/A
68,Âgé,Homme,Urbain,Fondamental,44,Marié,1,0,0,2,47251.80942225181,1,0,1,68,N/A
54,Sénior,Homme,Urbain,Fondamental,38,Divorcé,0,0,0,2,227585.45833844005,0,0,0,54,N/A
34,Adulte,Homme,Rural,Fondamental,18,Marié,0,0,0,6,,0,1,0,34,N/A
40,Sénior,Femme,Rural,Secondaire,23,Marié,0,0,1,3,26492.518935085645,0,0,1,40,N/A
43,Sénior,Homme,Urbain,Sans niveau,24,Marié,1,0,0,2,30382.199844737017,4,0,0,43,N/A
46,Sénior,Femme,Urbain,None,22,Marié,0,0,0,2,34835.43274053984,1,1,1,46,N/A
50,Sénior,Femme,Urbain,Secondaire,27,Célibataire,0,0,0,3,,2,0,0,50,N/A
44,Sénior,Femme,Urbain,Fondamental,28,Marié,1,1,0,4,42937.37992104679,4,0,0,44,N/A
42,Sénior,Femme,Urbain,Fondamental,20,Célibataire,0,0,1,5,,1,0,0,42,N/A
27,Adulte,Femme,Rural,Fondamental,3,Divorcé,0,1,0,2,21620.06444271812,1,0,0,27,N/A
64,Âgé,Femme,Urbain,Fondamental,44,Célibataire,0,1,0,5,37987.676312107775,2,1,0,64,N/A
40,Sénior,Homme,Rural,Fondamental,24,Marié,0,0,0,3,28213.65154510163,3,1,0,40,N/A
38,Adulte,Femme,Rural,Sans niveau,22,Célibataire,1,1,0,5,25422.38765935671,0,1,0,38,N/A
38,Adulte,Femme,Urbain,Fondamental,21,Marié,0,1,0,3,39118.29477165574,3,0,0,38,N/A
60,Âgé,Homme,Urbain,Secondaire,44,Marié,0,0,0,5,36312.14660602873,1,0,0,60,N/A
30,Adulte,Femme,Rural,Sans niveau,8,Marié,0,0,0,5,13145.140575722824,2,0,0,30,N/A
54,Sénior,Homme,Urbain,Secondaire,34,Marié,0,0,0,5,32189.683363319855,2,0,0,54,N/A
50,Sénior,Homme,Urbain,Supérieur,29,Marié,0,1,0,5,45465.49660550654,0,0,0,50,N/A
41,Sénior,Homme,Rural,Fondamental,23,Célibataire,1,1,0,3,31797.93671882767,3,0,0,41,N/A
61,Âgé,Femme,Urbain,Fondamental,42,None,0,1,0,3,43286.764827627696,3,0,0,61,N/A
28,Adulte,Femme,Urbain,Sans niveau,5,Célibataire,1,1,0,5,35996.05433718443,4,0,0,28,N/A
34,Adulte,Femme,Urbain,Secondaire,13,Marié,0,0,0,5,29205.304810869602,3,0,1,34,N/A
21,Jeune,Femme,Rural,Fondamental,3,Marié,0,1,1,5,18126.559512801992,1,0,0,21,N/A
64,Âgé,Homme,Rural,Secondaire,43,Marié,0,1,0,4,34514.168870279354,3,1,0,64,N/A
42,Sénior,Femme,Urbain,Sans niveau,19,None,0,0,0,4,24803.50895917517,1,0,0,42,N/A
47,Sénior,Homme,Urbain,Sans niveau,23,Célibataire,0,0,0,4,31605.678530992638,2,1,1,47,N/A
26,Adulte,Femme,Urbain,Fondamental,10,Marié,0,0,1,5,,2,0,0,26,N/A
38,Adulte,Homme,Rural,Sans niveau,18,None,0,1,0,1,,1,0,0,38,N/A
37,Adulte,Homme,Rural,Secondaire,16,Célibataire,1,0,0,3,34717.19027069743,1,0,1,37,N/A
36,Adulte,Femme,Urbain,Secondaire,19,Marié,0,0,0,5,31835.418844877866,4,1,0,36,N/A
36,Adulte,Femme,Rural,Supérieur,16,Célibataire,0,0,0,3,27251.559772672314,3,1,0,36,N/A
29,Adulte,Homme,Rural,Sans niveau,5,Marié,0,0,0,2,,2,0,0,29,N/A
54,Sénior,Femme,Rural,Fondamental,33,Célibataire,0,0,0,2,26808.99149532171,2,0,0,54,N/A
59,Sénior,Homme,Rural,Supérieur,38,Marié,0,1,1,2,47997.788940824255,3,0,0,59,N/A
34,Adulte,Homme,Urbain,Sans niveau,18,Veuf,1,0,0,1,36761.961824897975,7,0,0,34,N/A
54,Sénior,Femme,Rural,Fondamental,35,Célibataire,0,0,0,2,28944.063895401054,3,0,0,54,N/A
65,Âgé,Homme,Urbain,Secondaire,47,Marié,0,0,0,4,41550.62776867707,1,0,0,65,N/A
56,Sénior,Femme,Rural,Sans niveau,38,Marié,0,1,0,4,27014.7655300947,2,0,1,56,N/A
45,Sénior,Homme,Rural,Secondaire,27,Marié,1,0,0,5,32496.216406754935,2,0,0,45,N/A
58,Sénior,Homme,Urbain,Supérieur,39,Célibataire,0,1,0,5,47314.76154011825,2,0,0,58,N/A
52,Sénior,Homme,Rural,Fondamental,32,Marié,1,0,0,4,29699.803878852705,2,0,0,52,N/A
64,Âgé,Homme,Urbain,Secondaire,41,Célibataire,0,0,0,4,39481.21280623605,0,1,1,64,N/A
65,Âgé,Homme,Urbain,Fondamental,44,Célibataire,1,0,1,1,46081.66210307067,1,0,0,65,N/A
35,Adulte,Femme,Urbain,Secondaire,13,Marié,1,0,0,3,37354.30928194987,4,0,0,35,N/A
31,Adulte,Femme,Urbain,Fondamental,13,Marié,0,0,0,5,26725.524563699368,4,1,0,31,N/A
52,Sénior,Femme,Urbain,Sans niveau,28,Marié,1,1,0,6,31971.667401510407,1,0,0,52,N/A
61,Âgé,Femme,Urbain,Fondamental,39,Divorcé,0,0,0,2,,1,0,0,61,N/A
58,Sénior,Homme,Urbain,Fondamental,34,Célibataire,0,0,0,6,37131.48731218206,1,1,0,58,N/A
24,Jeune,Homme,Urbain,Supérieur,0,Célibataire,1,0,0,1,,0,1,0,24,N/A
58,Sénior,Homme,Rural,Fondamental,34,Marié,0,0,0,6,30450.803917841127,2,1,0,58,N/A
30,Adulte,Homme,Urbain,Supérieur,11,Marié,1,1,0,3,51057.84772232334,1,1,0,30,N/A
35,Adulte,Femme,Urbain,Sans niveau,12,Marié,0,1,1,2,37551.60587872889,4,0,1,35,N/A
54,Sénior,Homme,Rural,Secondaire,34,Célibataire,1,1,0,4,33524.17135600667,2,1,0,54,N/A
30,Adulte,Homme,Rural,Fondamental,14,Célibataire,0,0,0,3,23157.24654628281,2,0,0,30,N/A
53,Sénior,Homme,Rural,Sans niveau,32,Célibataire,0,1,0,6,25606.236636759073,4,0,1,53,N/A
48,Sénior,Homme,Rural,Fondamental,27,Veuf,1,1,0,4,38014.83989701401,2,1,0,48,N/A
19,Jeune,Homme,Urbain,Fondamental,0,Marié,1,1,0,6,30070.011971632273,1,0,0,19,N/A
33,Adulte,Femme,Rural,Sans niveau,11,Célibataire,0,0,0,4,,0,0,0,33,N/A
26,Adulte,Homme,Rural,Sans niveau,7,Célibataire,1,0,0,3,22617.880125630796,2,0,0,26,N/A
26,Adulte,Femme,Rural,None,10,Marié,0,0,0,6,19922.411826597643,1,0,0,26,N/A
55,Sénior,Homme,Urbain,Secondaire,35,Marié,0,1,0,4,38624.803423119956,3,1,0,55,N/A
28,Adulte,Femme,Urbain,Fondamental,11,Célibataire,0,1,1,5,28976.349122421278,3,1,0,28,N/A
39,Adulte,Femme,Rural,None,18,Célibataire,1,1,0,4,36033.8243045875,1,0,0,39,N/A
50,Sénior,Femme,Urbain,Sans niveau,31,Marié,0,0,0,4,28106.281969043932,1,1,0,50,N/A
53,Sénior,Homme,Urbain,Fondamental,36,Célibataire,0,1,0,6,38953.549123366094,2,1,0,53,N/A
62,Âgé,Homme,Rural,Supérieur,45,Marié,0,0,0,4,37221.03511199969,2,0,0,62,N/A
40,Sénior,Femme,Urbain,Fondamental,23,Marié,0,1,0,3,41145.35114799724,4,0,0,40,N/A
62,Âgé,Homme,Urbain,Fondamental,46,Célibataire,1,1,0,4,50352.85068931733,2,1,1,62,N/A
62,Âgé,Homme,Rural,Sans niveau,42,Célibataire,0,0,0,3,23894.30983174729,2,0,0,62,N/A
51,Sénior,Homme,Rural,Secondaire,32,Marié,0,0,0,5,30974.922345528328,2,0,0,51,N/A
26,Adulte,Femme,Urbain,Secondaire,6,Marié,0,1,0,3,35355.602488367964,2,1,0,26,N/A
41,Sénior,Homme,Urbain,Sans niveau,20,Divorcé,0,1,1,6,34411.036845046234,3,1,0,41,N/A
25,Jeune,Femme,Rural,Secondaire,5,Marié,1,1,0,4,40490.20182699912,2,1,0,25,N/A
24,Jeune,Femme,Rural,Fondamental,7,Célibataire,0,1,0,2,26554.794141114926,4,0,0,24,N/A
53,Sénior,Homme,Rural,Fondamental,30,Célibataire,1,0,0,1,31403.514671886172,1,0,0,53,N/A
35,Adulte,Homme,Urbain,Secondaire,11,Marié,0,1,0,5,38933.1012084149,6,0,0,35,N/A
20,Jeune,Homme,Rural,Sans niveau,0,Marié,0,0,1,5,24317.15682996865,6,0,0,20,N/A
45,Sénior,Homme,Urbain,Fondamental,23,Célibataire,0,0,0,5,34726.42300801571,2,0,0,45,N/A
23,Jeune,Homme,Rural,Secondaire,5,Marié,0,0,1,2,25409.000627776735,3,1,0,23,N/A
61,Âgé,Homme,Urbain,Sans niveau,43,Marié,0,0,0,2,40759.88375828081,2,1,0,61,N/A
61,Âgé,Femme,Urbain,Secondaire,44,Marié,0,1,0,3,48448.05980106266,1,0,0,61,N/A
38,Adulte,Femme,Urbain,Secondaire,19,Célibataire,1,0,0,4,35400.888591410214,1,0,0,38,N/A
45,Sénior,Homme,Rural,Secondaire,21,Marié,0,0,0,2,22935.384595414107,1,0,0,45,N/A
57,Sénior,Femme,Rural,Secondaire,38,Marié,0,0,0,5,26466.880725112995,4,0,0,57,N/A
18,Jeune,Femme,Urbain,Fondamental,2,Divorcé,1,0,0,5,24817.26589546888,1,0,0,18,N/A
53,Sénior,Homme,Urbain,Supérieur,33,Célibataire,1,0,0,2,45873.718579239634,2,1,0,53,N/A
38,Adulte,Homme,Urbain,Secondaire,21,Marié,0,0,0,3,36784.87643716162,3,1,1,38,N/A
60,Âgé,Femme,Urbain,Fondamental,37,Célibataire,0,0,0,4,36010.46403625552,3,1,0,60,N/A
52,Sénior,Femme,Urbain,Fondamental,33,Célibataire,0,0,0,2,33369.34262170663,0,0,0,52,N/A
30,Adulte,Femme,Rural,Secondaire,6,Marié,0,1,1,2,35237.58228922475,3,0,0,30,N/A
66,Âgé,Homme,Rural,Secondaire,46,Marié,1,0,0,3,41216.40638309574,1,1,0,66,N/A
27,Adulte,Femme,Rural,Sans niveau,3,Veuf,0,1,0,6,20092.490207511804,2,1,1,27,N/A
61,Âgé,Femme,Rural,Supérieur,45,None,0,1,0,3,36197.0813234156,1,0,1,61,N/A
